id,loan_status,probability
58645,1,0.9937
58646,0,0.0156
58647,1,0.6273
58648,0,0.0072
58649,0,0.0203
58650,1,0.9446
58651,0,0.0005
58652,0,0.0058
58653,1,0.5388
58654,0,0.0223
58655,0,0.0962
58656,0,0.058
58657,0,0.0295
58658,0,0.0031
58659,0,0.0142
58660,0,0.1242
58661,0,0.0165
58662,0,0.0007
58663,0,0.0424
58664,0,0.0022
58665,0,0.0304
58666,0,0.0139
58667,0,0.0016
58668,0,0.0057
58669,0,0.011
58670,0,0.0004
58671,0,0.2614
58672,0,0.0029
58673,1,0.8737
58674,0,0.0004
58675,0,0.0126
58676,0,0.1227
58677,0,0.054
58678,0,0.0052
58679,0,0.2267
58680,1,0.9744
58681,0,0.0494
58682,0,0.0006
58683,0,0.0006
58684,0,0.1784
58685,0,0.1945
58686,0,0.0161
58687,0,0.4194
58688,0,0.0934
58689,0,0.2618
58690,0,1e-04
58691,0,0.0237
58692,0,0.0178
58693,0,0.0064
58694,0,0.0904
58695,1,0.9838
58696,0,0.0137
58697,0,0.0125
58698,0,0.0098
58699,0,0.0075
58700,0,0.0087
58701,0,0.0027
58702,0,0.0177
58703,0,0.0928
58704,0,0.2865
58705,0,0.097
58706,0,0.019
58707,0,0.0184
58708,0,0.0295
58709,1,0.8131
58710,0,0.0424
58711,1,0.8856
58712,0,0.0639
58713,0,0.0003
58714,0,0.0208
58715,0,0.003
58716,0,0.2146
58717,0,0.0228
58718,0,0.0879
58719,0,0.0081
58720,0,1e-04
58721,0,0.0867
58722,0,0.1708
58723,0,0.0045
58724,0,0.0122
58725,0,0.0169
58726,0,0.0135
58727,0,0.2516
58728,0,0.1732
58729,0,0.0112
58730,0,0.0013
58731,0,0.0077
58732,0,0.2558
58733,0,1e-04
58734,0,0.0138
58735,0,0.0193
58736,0,0.1013
58737,0,0.0293
58738,1,0.9861
58739,0,0.4612
58740,1,0.7683
58741,0,0.0496
58742,0,0.0014
58743,0,0.0127
58744,0,0.0064
58745,0,0.005
58746,0,0.0661
58747,0,0.0021
58748,0,0.0113
58749,0,0.015
58750,0,0.0062
58751,0,0.0425
58752,1,0.913
58753,0,0.0033
58754,0,0.0538
58755,0,0.163
58756,0,0.0035
58757,0,0.0276
58758,0,0.0046
58759,0,0.0009
58760,0,0.0002
58761,0,0.0112
58762,0,0.0049
58763,1,0.9696
58764,0,0.0015
58765,0,0.036
58766,0,0.0069
58767,0,0.0083
58768,1,0.9376
58769,0,0.0029
58770,0,0.0292
58771,0,0.0442
58772,0,0.0173
58773,0,0.0207
58774,0,0.0084
58775,1,0.9655
58776,1,0.8858
58777,0,0.01
58778,0,0.089
58779,0,0.0318
58780,0,0.0106
58781,0,0.0532
58782,0,0.0914
58783,0,0.0435
58784,0,0.0092
58785,0,0.0015
58786,0,0.0775
58787,0,0.0404
58788,0,0.1631
58789,0,0.0105
58790,0,0.0353
58791,0,0.1043
58792,0,0.0003
58793,0,0.0498
58794,0,0.0095
58795,0,0.0188
58796,0,0.0319
58797,0,0.0159
58798,0,0.068
58799,1,0.7938
58800,0,0.0362
58801,0,0.0017
58802,1,0.8392
58803,0,0.2051
58804,1,0.5128
58805,1,0.9107
58806,0,0.055
58807,0,0.0085
58808,0,0.0156
58809,1,0.9335
58810,1,0.8849
58811,0,0.0277
58812,0,0.0308
58813,0,0.0417
58814,0,0.0972
58815,0,0.0051
58816,0,0.0106
58817,0,0.0019
58818,0,0.03
58819,0,0.1273
58820,0,0.0012
58821,0,0.0221
58822,0,0.0031
58823,0,0.1363
58824,0,0.0635
58825,0,0.0004
58826,0,0.0738
58827,0,0.0163
58828,0,0.0028
58829,0,0.1379
58830,0,0.0122
58831,0,0.1489
58832,0,0.011
58833,0,0.0171
58834,0,0.0071
58835,1,0.9746
58836,0,0.0434
58837,0,0.0665
58838,0,0.0028
58839,0,0.0004
58840,0,0.0054
58841,1,0.9001
58842,0,0.0025
58843,0,0.0102
58844,0,0.0467
58845,0,0.0598
58846,0,1e-04
