id,loan_status,probability
58645,1,0.9948
58646,0,0.0272
58647,1,0.6288
58648,0,0.0154
58649,0,0.0658
58650,1,0.9314
58651,0,0.0035
58652,0,0.0069
58653,0,0.242
58654,0,0.0264
58655,0,0.0587
58656,0,0.0903
58657,0,0.0561
58658,0,0.0088
58659,0,0.0228
58660,0,0.3079
58661,0,0.0133
58662,0,0.002
58663,0,0.0396
58664,0,0.0064
58665,0,0.0277
58666,0,0.0137
58667,0,0.0049
58668,0,0.0076
58669,0,0.0112
58670,0,0.002
58671,0,0.2263
58672,0,0.0052
58673,1,0.914
58674,0,0.0009
58675,0,0.0113
58676,0,0.2892
58677,0,0.0314
58678,0,0.0054
58679,0,0.3321
58680,1,0.9661
58681,0,0.0291
58682,0,0.0018
58683,0,0.0104
58684,0,0.3564
58685,0,0.1349
58686,0,0.0278
58687,0,0.4488
58688,0,0.0422
58689,0,0.2907
58690,0,0.0015
58691,0,0.0147
58692,0,0.0214
58693,0,0.0128
58694,0,0.0319
58695,1,0.9694
58696,0,0.0168
58697,0,0.032
58698,0,0.0121
58699,0,0.0128
58700,0,0.0093
58701,0,0.0075
58702,0,0.0187
58703,0,0.1723
58704,0,0.3146
58705,0,0.1259
58706,0,0.054
58707,0,0.0228
58708,0,0.0299
58709,1,0.9505
58710,0,0.0553
58711,1,0.9305
58712,0,0.0709
58713,0,0.0073
58714,0,0.0179
58715,0,0.0061
58716,0,0.1381
58717,0,0.0279
58718,0,0.1058
58719,0,0.0035
58720,0,0.0019
58721,0,0.0474
58722,0,0.1173
58723,0,0.0207
58724,0,0.0208
58725,0,0.0179
58726,0,0.0234
58727,0,0.1205
58728,0,0.1084
58729,0,0.0129
58730,0,0.005
58731,0,0.0184
58732,0,0.2658
58733,0,0.0011
58734,0,0.0138
58735,0,0.0204
58736,0,0.1081
58737,0,0.0519
58738,1,0.9723
58739,0,0.0582
58740,1,0.8887
58741,0,0.0424
58742,0,0.0085
58743,0,0.0183
58744,0,0.0053
58745,0,0.0076
58746,0,0.2057
58747,0,0.0062
58748,0,0.0237
58749,0,0.0248
58750,0,0.0144
58751,0,0.0418
58752,1,0.8902
58753,0,0.003
58754,0,0.0708
58755,0,0.0925
58756,0,0.004
58757,0,0.0421
58758,0,0.0092
58759,0,0.001
58760,0,0.0021
58761,0,0.0137
58762,0,0.0056
58763,1,0.9586
58764,0,0.0029
58765,0,0.0265
58766,0,0.0119
58767,0,0.0173
58768,1,0.9318
58769,0,0.0046
58770,0,0.0297
58771,0,0.0412
58772,0,0.023
58773,0,0.0213
58774,0,0.0144
58775,1,0.9306
